Job_ID,Titre,Societe,Description,Skills,Categories,Annees_Experience,Niveau_Experience,Education,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
236980,Customer Services Officer - Sfax,BANK ABC,Bank ABC is reinforcing their network with the hiring of a Customer Services Officer within one of its Branches in Sfax. As a CSO you will be treating desk operations …,,banque / finance / assurances,,,,,Sfax,CDI,,2026-03-23,23 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/236980/customer-services-officer-sfax/
235337,International Payments Officer-Domiciliation.,BANK ABC,"Bank ABC cherche à renforcer son département Banking Operations par le recrutement d'un International Payments Officer – Domiciliation.. L'International Payments Officer - Domiciliation. assurera, en toute autonomie, la gestion et le suivi des opérations …",,banque / finance / assurances,,,,,Tunis,CDI,,2026-03-23,23 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/235337/international-payments-officer/
224034,Agent de Service Général / Agent de Sécurité,BANK ABC,"Bank ABC recrute pour le poste d’Agent de Service Général / Agent de Sécurité. L’agent de Service Général est chargé d'assurer la sécurité des locaux, des personnes (employés, clients) et …",,banque / finance / assurances,,,,,Tunis,CDI | CDD,,2026-03-23,23 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/224034/agent-de-service-g%C3%A9n%C3%A9ral-agent-de-s%C3%A9curit%C3%A9/
224036,Agent de Service Support/Agent(e) d’Entretien,BANK ABC,"Bank ABC Tunisie recrute pour le poste d’Agent(e) de Service Support/ Agent(e) d’Entretien. Principales tâches & Responsabilités:Entretien des locaux : Nettoyage des sols (balayage, aspiration, lavage) Dépoussiérage des surfaces, mobilier, …",,banque / finance / assurances,,,,,Tunis,CDI | CDD,,2026-03-23,23 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/224036/agent-de-service-supportagente-dentretien/
223139,Wholesale Banking Analyst,BANK ABC,Bank ABC is reinforcing its Wholesale Banking department with the recruitment of a Wholesale Banking Analyst . The Wholesale Banking Analyst function is a key enabler in the Wholesale Banking delivery chain acting …,,banque / finance / assurances,,,,,Tunis,CDI | SIVP,,2026-03-23,23 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/223139/wholesale-banking-analyst/
222930,Head of Corporate,BANK ABC,"Bank ABC Tunisia is hiring within its Wholesale Banking Division a Head of Corporate reporting directly to the Head of Wholesale Banking. I - Principal Responsibilities, Accountabilities and Deliverables of …",,banque / finance / assurances,,,,,Tunis,,,2026-03-23,23 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/222930/head-of-corporate/
238074,Delivery Manager H/F,EVERIENCE TUNISIA,"Dans le cadre du développement de nos prestations en infogérance sur notre centre de services basé à Tunis, nous recherchons pour rejoindre nos équipes un :DELIVERY MANAGER H/FVous intégrez le Service Desk dédié …",,informatique / télécoms,,Manager,,,Tunis,CDI,,2026-03-23,23 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238074/delivery-manager-hf/
238073,Service Desk analyst H/F,EVERIENCE TUNISIA,"Et si vous choisissez plus qu’un job ? Vous avez la possibilité d’entamer un parcours dans le domaine IT, Notre cœur de métier est le support informatique. On vous offre : Des …",,informatique / télécoms,,,,,Tunis,CDI,,2026-03-23,23 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238073/service-desk-analyst-hf/
238078,Auditeur,EL AMEL MICROFINANCE,"Missions: Participer à l'élaboration et la réalisation du plan d'audit Réaliser les travaux d'investigation nécessaires pour s'assurer de la fiabilité des informations financières, comptables et extra-comptables.Réaliser des missions d'audit au niveau de …",,banque / finance / assurances,,,,,Ben Arous,CDI,,2026-03-23,23 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238078/auditeur/
238091,Gestionnaire De Magasin,BEN YAGHLANE SHOPS,"La Société Centrale Commerciale "" Biwai Shops"" cherche à recruter des Gestionnaires de Magasin. Missions: - Participer au schéma directeur du magasin - Réaliser le lancement des activités journalière - Evaluer les résultats en fonction …",,commerce / vente / distribution,,Directeur,,,Tunis,,,2026-03-23,23 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/238091/gestionnaire-de-magasin/
