Job_ID,Titre,Societe,Lieu,Type_Contrat,Mode_Travail,Niveau_Experience,Annees_Experience,Skills,Categories,Salaire,Description,Date_Publication,Date_Relative,Expire,Source,Lien
8673B431,Python Back End Developer,Prometeon Tyres Group,"Alexandria,Egypt",Full Time,On-site,Entry Level,0 - 4 Yrs of Exp,Computer Science | Information Technology (IT) | Software Development | Python,IT/Software Development | Engineering - Telecom/Technology,N/A,N/A,2025-03-18,4 days ago,No,Wuzzuf,https://wuzzuf.net
0D9C7630,Software Engineer,Agency,"Cairo,Egypt",Full Time,Remote,Experienced,3 - 7 Yrs of Exp,Python | AI Agents | AI Evaluator | LLM Evaluation | Data Annotation | Data Annotator,IT/Software Development | Engineering - Telecom/Technology,N/A,N/A,2025-02-26,24 days ago,No,Wuzzuf,https://wuzzuf.net
2CXTB2KI4NNB,Senior Python Developer,Advanced Control,"6th of October,Giza,Egypt",Full Time,On-site,Experienced,5+ Yrs of Exp,Python | Django | Vue.js | MongoDB | Microservices | Laravel,IT/Software Development | Engineering - Telecom/Technology,N/A,N/A,2025-02-23,27 days ago,No,Wuzzuf,https://wuzzuf.net/jobs/p/2cxtb2ki4nnb-senior-python-developer-azm-squad-cairo-egypt
2CXTB2KI4NNB,Senior Python Developer,AZM Squad,"Cairo,Egypt",Full Time,Remote,Experienced,4 - 10 Yrs of Exp,Python | Django | Flask | RESTful APIs | SQL/NoSQL Databases | CI/CD Pipelines | Python Back-end Developer | FastAPI,IT/Software Development,N/A,N/A,2025-02-20,1 month ago,No,Wuzzuf,https://wuzzuf.net/jobs/p/2cxtb2ki4nnb-senior-python-developer-azm-squad-cairo-egypt
4F923F5E,Mid Level Rest API Django Python Developer,Software House Solution,"Heliopolis,Cairo,Egypt",Full Time,On-site,Experienced,2 - 7 Yrs of Exp,Django | Python | RESTful API Development | PostgreSQL | MySQL | API Security | Unit Testing | Git,IT/Software Development,N/A,N/A,2025-01-21,2 months ago,No,Wuzzuf,https://wuzzuf.net
D1C9AB35,Senior Odoo Implementer,SMART ICON EG,"Obour City,Cairo,Egypt",Freelance / Project,Hybrid,Experienced,3 - 5 Yrs of Exp,Odoo ERP | ERP Implementation | ERP Systems | Financial Analysis | Business Process Optimization,Accounting/Finance | IT/Software Development | Engineering - Telecom/Technology | Accounting Software,N/A,N/A,2025-03-19,3 days ago,No,Wuzzuf,https://wuzzuf.net
6E99E257,Odoo Developer (Mid-Level),ecoSAS International,"Giza,Egypt",Full Time,On-site,Experienced,3+ Yrs of Exp,Information Technology (IT) | Odoo | Computer Science | Odoo Development | Technology | Python,IT/Software Development | Engineering - Telecom/Technology,N/A,N/A,2025-03-17,5 days ago,No,Wuzzuf,https://wuzzuf.net
F0AA7994,Business Analyst,Ibn Sina Pharma,"New Cairo,Cairo,Egypt",Internship,Hybrid,Entry Level,N/A,Analysis | Business Analysis | Computer Science | Data Analysis | Information Technology (IT) | Python,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology,N/A,N/A,2025-03-17,5 days ago,No,Wuzzuf,https://wuzzuf.net
7ZCTEKBZG2VB,Odoo ERP Implementer,KZ for Pesticides and Chemicals,"Dokki,Giza,Egypt",Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,Computer Science | Information Technology (IT) | ERP | Odoo | Python | SQL,Accounting/Finance | IT/Software Development | Engineering - Telecom/Technology,N/A,N/A,2025-03-18,4 days ago,No,Wuzzuf,https://wuzzuf.net/jobs/p/7zctekbzg2vb-odoo-erp-implementer-kz-for-pesticides-and-chemicals-giza-egypt
C787F5DB,Senior AI Engineer (LLM Systems & RAG),Seha Care,"Sheraton,Cairo,Egypt",Full Time,Remote,Experienced,3 - 7 Yrs of Exp,Python | LLMs | RAG | LangChain | LlamaIndex | Vector Databases | FastAPI | Docker,IT/Software Development,N/A,N/A,2025-03-17,5 days ago,No,Wuzzuf,https://wuzzuf.net
88091D4D,Senior Data Scientist,Egabi FSI,"Sheraton,Cairo,Egypt",Full Time,On-site,Experienced,3+ Yrs of Exp,Computer Science | Data Mining | Data Science | data scientist | Hadoop | Machine Learning | Python,IT/Software Development | Engineering - Telecom/Technology,N/A,N/A,2025-03-17,5 days ago,No,Wuzzuf,https://wuzzuf.net
82D3C38A,AI Engineer (LLM & AI Applications),Exab,"Cairo,Egypt",Full Time,On-site,Experienced,3 - 7 Yrs of Exp,AI | Computer Science | Information Technology (IT) | Data Science | LLMs (Large Language Models),IT/Software Development | Analyst/Research | Engineering - Telecom/Technology | Engineering,N/A,N/A,2025-03-13,9 days ago,No,Wuzzuf,https://wuzzuf.net
1AA9C88C,Senior Full-Stack Engineer,Oliv,"Cairo,Egypt",Full Time,Hybrid,Experienced,3 - 7 Yrs of Exp,Golang | Go | Python | PostgreSQL | Docker | DevOps | Fintech | Payments,IT/Software Development,N/A,N/A,2025-03-15,7 days ago,No,Wuzzuf,https://wuzzuf.net
ADC61637,Technical Support Engineer II - Fluent French,Docusign,"Cairo,Egypt",Full Time,Remote,Experienced,2 - 5 Yrs of Exp,Information Technology (IT) | Technical Support | SaaS | XML | JSON | Wireshark,IT/Software Development | Engineering - Telecom/Technology | Engineering,N/A,N/A,2025-03-13,9 days ago,No,Wuzzuf,https://wuzzuf.net
