Job_ID,Titre,Societe,Description,Skills,Categories,Annees_Experience,Niveau_Experience,Education,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
backoff-solutions-web-marketing-and-growth-manager-saas-jobtech,Web Marketing & Growth Manager (SaaS / JobTech),BackOff Solutions,,Marketing B2B | Ads | Lead generation,Toutes offres,2-5 ans,,,Confidentiel,,CDI,Télétravail complet,2026-03-05,Publié:il y a 18 jours,,Toutes offres,https://www.tunijobs.com/company/backoff-solutions/jobs/backoff-solutions-web-marketing-and-growth-manager-saas-jobtech
backoff-solutions-support-commercial-prise-de-commandes-and-saisie-h-f,Support Commercial – Prise de commandes & Recouvrement,BackOff Solutions,,Relation ClientB2B | CRM | Autonomie,Toutes offres,1-2 ans,,,700 - 1300 DT,,CDI,Télétravail complet,2025-06-26,Publié:il y a 9 mois,,Toutes offres,https://www.tunijobs.com/company/backoff-solutions/jobs/backoff-solutions-support-commercial-prise-de-commandes-and-saisie-h-f
adam-eden-eva-conseiller-commercial-mutuelle-sante-and-prevoyance-h-f,Conseiller Commercial Mutuelle Santé & Prévoyance (H/F),ADAM EDEN EVA,,Sens du service et de l'écoute | Aptitude à l'argumentation com... | Dynamisme,Toutes offres,6-12 mois,,,Confidentiel,,CDI,Présentiel,2025-10-24,Publié:il y a 5 mois,,Toutes offres,https://www.tunijobs.com/company/adam-eden-eva/jobs/adam-eden-eva-conseiller-commercial-mutuelle-sante-and-prevoyance-h-f
quezia-recrutement-assistant-marketing-prospection,Recrutement – Assistant marketing / prospection,QUEZIA,,Prospection | Marketing,Toutes offres,6-12 mois,,,600 - 1000 DT,,"CDI, Freelance",Télétravail complet,2026-03-19,Publié:il y a 4 jours,,Toutes offres,https://www.tunijobs.com/company/quezia/jobs/quezia-recrutement-assistant-marketing-prospection
electricite-du-lac-ingenieur-bureau-detudes-senior-teletravail-tunisie,Ingénieur Bureau d’Études Senior (Télétravail – Tunisie),Electricité du Lac,,Maîtrise AutoCAD et outils CAO... | Maîtrise Caneco et logiciels é... | Notes de calcul et variantes t...,Toutes offres,7-10 ans,,,1500 DT,,CDI,Télétravail complet,2026-03-19,Publié:il y a 4 jours,,Toutes offres,https://www.tunijobs.com/company/electricite-du-lac/jobs/electricite-du-lac-ingenieur-bureau-detudes-senior-teletravail-tunisie
portaops-ingenieur-daffaires-it-esn-profil-commercial-uniquement,Ingénieur d’Affaires IT – ESN – Profil Commercial Uniquement,Portaops,,Vente | ESN | Affaires,Toutes offres,2-5 ans,,,1500 - 2500 DT,,CDI,Télétravail complet,2026-03-17,Publié:il y a 6 jours,,Toutes offres,https://www.tunijobs.com/company/portaops/jobs/portaops-ingenieur-daffaires-it-esn-profil-commercial-uniquement
qcebe-agent-e-dentretien-h-f,Agent(e) d'entretien H/F,QCEBE,,Nettoyeur | Agent d'entretien,Toutes offres,Sans expérience,,,5000 DT,,CDI,Présentiel,2026-03-17,Publié:il y a 6 jours,,Toutes offres,https://www.tunijobs.com/company/qcebe/jobs/qcebe-agent-e-dentretien-h-f
clicar-televendeurs,Télévendeurs,Clicar,,élocution française et dynamis...,Toutes offres,1-2 ans,,,800 - 1200 DT,,"CDI, CIVP",Présentiel,2026-03-15,Publié:il y a 8 jours,,Toutes offres,https://www.tunijobs.com/company/clicar/jobs/clicar-televendeurs
gts-assistante-de-direction,ASSISTANTE DE DIRECTION,gts,,bac | assistante,Toutes offres,Sans expérience,,,800 DT,,CDI,Présentiel,2026-03-11,Publié:il y a 12 jours,,Toutes offres,https://www.tunijobs.com/company/gts/jobs/gts-assistante-de-direction
fortistore-technico-commercial,Technico-commercial,fortistore,,Bac+3,Toutes offres,2-5 ans,,,Confidentiel,,CDI,Présentiel,2026-03-10,Publié:il y a 13 jours,,Toutes offres,https://www.tunijobs.com/company/fortistore/jobs/fortistore-technico-commercial
maxtrade-ingenieur-dapplication-field-application-engineer-fae,Ingénieur d’Application / Field Application Engineer (FAE),MAXTRADE,,compétences | organisation | terrain,Toutes offres,2-5 ans,,,Confidentiel,,"Al Karama, CDI",Présentiel,2026-03-23,Publié:il y a un mois,,Toutes offres,https://www.tunijobs.com/company/maxtrade/jobs/maxtrade-ingenieur-dapplication-field-application-engineer-fae
backoff-solutions-consultant-e-specialise-e-en-appels-doffres-europeens-logiciels-saas-france-and-europe,🎯 Consultant(e) spécialisé(e) en appels d’offres européens – Logiciels SaaS (France & Europe),BackOff Solutions,,Appel d'offre | MAPA | AO,Toutes offres,5-7 ans,,,Confidentiel,,CDI,Télétravail complet,2025-10-24,Publié:il y a 5 mois,,Toutes offres,https://www.tunijobs.com/company/backoff-solutions/jobs/backoff-solutions-consultant-e-specialise-e-en-appels-doffres-europeens-logiciels-saas-france-and-europe
incorp-consulting-comptabilite-juridique-administratif,Comptabilité – Juridique – Administratif,Incorp Consulting,,Comptabilité générale | Déclarations fiscales et socia... | Maîtrise Excel / outils bureau...,Toutes offres,2-5 ans,,,Confidentiel,,CDI,Présentiel,2026-01-22,Publié:il y a 2 mois,,Toutes offres,https://www.tunijobs.com/company/incorp-consulting/jobs/incorp-consulting-comptabilite-juridique-administratif
favorite-flavours-advisory-sales-and-after-sales,Sales&After-sales,Favorite Flavours Advisory,,Un fin négociateur | Empathique | Mobile,Toutes offres,2-5 ans,,,3000 DT,,CDI,Présentiel,2026-03-07,Publié:il y a 16 jours,,Toutes offres,https://www.tunijobs.com/company/favorite-flavours-advisory/jobs/favorite-flavours-advisory-sales-and-after-sales
expertise-immigration-canada-ouvrier-ere-dentretien,Ouvrier(ère) d'entretien,Expertise Immigration Canada,,Nettoyage | Entretien ménager,Toutes offres,Sans expérience,,,5000 DT,,CDI,Présentiel,2026-03-04,Publié:il y a 19 jours,,Toutes offres,https://www.tunijobs.com/company/expertise-immigration-canada/jobs/expertise-immigration-canada-ouvrier-ere-dentretien
adam-eden-eva-assistant-e-administratif-ve-bilingue-francais,Assistant(e) Administratif(ve) Bilingue Français,ADAM EDEN EVA,,Autonomie | Aisance Informatique | Maîtrise du Français,Toutes offres,1-6 mois,,,800 - 1100 DT,,"CIVP, CDI",Présentiel,2026-03-23,Publié:il y a un mois,,Toutes offres,https://www.tunijobs.com/company/adam-eden-eva/jobs/adam-eden-eva-assistant-e-administratif-ve-bilingue-francais
stravos-product-manager-at-stravos,Product manager at Stravos,Stravos,,Cadrage | Pilotage | Mentorat,Toutes offres,5-7 ans,,,Confidentiel,,CDI,Hybride,2026-03-23,Publié:il y a un mois,,Toutes offres,https://www.tunijobs.com/company/stravos/jobs/stravos-product-manager-at-stravos
backoff-solutions-comptable-senior-teletravail,Comptable / Gestionnaire de paies Sénior - Télétravail,BackOff Solutions,,Sage100 | Cegid | Silae,Toutes offres,2-5 ans,,,1400 - 1900 DT,,CDI,Télétravail complet,2026-03-23,Publié:il y a un an,,Toutes offres,https://www.tunijobs.com/company/backoff-solutions/jobs/backoff-solutions-comptable-senior-teletravail
premunia-conseillers-commerciaux-en-assurance-sante,Conseillers Commerciaux en Assurance Santé,PREMUNIA,,Expertise en Mutuelle Santé | Techniques de Vente à Distance | Sens de l'écoute active,Toutes offres,1-2 ans,,,Confidentiel,,CDI,Présentiel,2025-09-24,Publié:il y a 6 mois,,Toutes offres,https://www.tunijobs.com/company/premunia/jobs/premunia-conseillers-commerciaux-en-assurance-sante
premunia-assistant-e-administratif-ve-bilingue-francais,Assistant(e) Administratif(ve) Bilingue Français,PREMUNIA,,Maîtrise du Français : Niveau ... | Autonomie | Rigueur & Organisation,Toutes offres,1-6 mois,,,800 - 1100 DT,,"CDI, CIVP",Présentiel,2026-03-23,Publié:il y a un mois,,Toutes offres,https://www.tunijobs.com/company/premunia/jobs/premunia-assistant-e-administratif-ve-bilingue-francais
supply-chain-management-senior-confirme-en-paie-francaise,Gestionnaire de paie français JUNIOR,SUPPLY CHAIN MANAGEMENT,,poste à responsabilités,Toutes offres,6-12 mois,,,500 - 650 DT,,"CIVP, Al Karama, Stage",Présentiel,2025-12-23,Publié:il y a 3 mois,,Toutes offres,https://www.tunijobs.com/company/supply-chain-management/jobs/supply-chain-management-senior-confirme-en-paie-francaise
apx-leads-responsable-de-compte,Responsable de compte,APX Leads,,Français | Télévente | Télémarketing,Toutes offres,2-5 ans,,,1500 DT,,CDI,Présentiel,2025-08-25,Publié:il y a 7 mois,,Toutes offres,https://www.tunijobs.com/company/apx-leads/jobs/apx-leads-responsable-de-compte
nexoratech-stage-pfe-2025-2026-developpement-web-saas-ia-6-sujets,Stage PFE 2025-2026 – Développement Web / SaaS / IA (6 sujets),NexoraTech,,Next.js | React.js | TailwindCSS,Toutes offres,Sans expérience,,,Confidentiel,,Stage,Télétravail complet,2025-12-23,Publié:il y a 3 mois,,Toutes offres,https://www.tunijobs.com/company/nexoratech/jobs/nexoratech-stage-pfe-2025-2026-developpement-web-saas-ia-6-sujets
adam-eden-eva-charge-e-qualite-televente-en-mutuelle-sante-and-prevoyance,Chargé(e) Qualité Télévente en Mutuelle Santé & Prévoyance 🚀,ADAM EDEN EVA,,Français lu parlé | Télévente | Assurance,Toutes offres,,,,Confidentiel,,"CDI, CIVP",Présentiel,2025-09-24,Publié:il y a 6 mois,,Toutes offres,https://www.tunijobs.com/company/adam-eden-eva/jobs/adam-eden-eva-charge-e-qualite-televente-en-mutuelle-sante-and-prevoyance
devpack-des-operateurs-machines-et-techniciens-de-maintenance,Des operateurs  machines et techniciens de maintenance,devpack,,conaissance thechnique souhait...,Toutes offres,1-2 ans,,,Confidentiel,,CDD,Présentiel,2026-03-23,Publié:il y a un mois,,Toutes offres,https://www.tunijobs.com/company/devpack/jobs/devpack-des-operateurs-machines-et-techniciens-de-maintenance
espace-vert-infographiste,Infographiste,Espace Vert,,Créativité | réactivité | sens du détail,Toutes offres,2-5 ans,,,Confidentiel,,CDI,Présentiel,2026-03-23,Publié:il y a un mois,,Toutes offres,https://www.tunijobs.com/company/espace-vert/jobs/espace-vert-infographiste
yes-you-can-enseignante-danglais,Enseignante d’anglais,yes you can,,"bonne communication , flexible",Toutes offres,1-2 ans,,,Confidentiel,,"CIVP, CDI",Présentiel,2026-03-23,Publié:il y a un mois,,Toutes offres,https://www.tunijobs.com/company/yes-you-can/jobs/yes-you-can-enseignante-danglais
ets-jemmali-and-cie-ingenieur-technicien-electromecanique,Ingénieur / Technicien Electromécanique,Ets Jemmali & Cie,,Sérieux | Dynamique,Toutes offres,Sans expérience,,,Confidentiel,,CIVP,Présentiel,2026-03-23,Publié:il y a un mois,,Toutes offres,https://www.tunijobs.com/company/ets-jemmali-and-cie/jobs/ets-jemmali-and-cie-ingenieur-technicien-electromecanique
climodpro-assistant-facturation-et-logistique-h-f,Coordinateur  Logistique et Transport  (H/F),ClimodPro,,dédouanement | traitement transitaire | aisance relationnelle,Toutes offres,2-5 ans,,,Confidentiel,,CDI,Présentiel,2026-03-23,Publié:il y a un mois,,Toutes offres,https://www.tunijobs.com/company/climodpro/jobs/climodpro-assistant-facturation-et-logistique-h-f
supply-chain-management-gestionnaire-de-paie-francaise,GESTIONNAIRE DE PAIE FRANCAISE,SUPPLY CHAIN MANAGEMENT,,français | paie français | travail d'équipe,Toutes offres,2-5 ans,,,1500 - 2500 DT,,CDI,Hybride,2026-01-22,Publié:il y a 2 mois,,Toutes offres,https://www.tunijobs.com/company/supply-chain-management/jobs/supply-chain-management-gestionnaire-de-paie-francaise
plastaa-conducteur-machine-dextrusion,conducteur machine d'extrusion,Plastaa,,serieux,CDI,Sans expérience,,,1000 DT,,CDI,Présentiel,2026-01-22,Publié:il y a 2 mois,,CDI,https://www.tunijobs.com/company/plastaa/jobs/plastaa-conducteur-machine-dextrusion
