Job_ID,Titre,Societe,Description,Skills,Categories,Annees_Experience,Niveau_Experience,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
YF8FRXYDLI0H,Operations Manager – F&B Experience,Confidential,,·Sports and Leisure | · F&B Management | · Team Leadership | · Inventory Control | · Event Management | · Customer Experience,·Hospitality/Hotels/Food Services | · Operations Management | · Indoor Sales | · Sales Target,5 - 10 Yrs of Exp,Manager,,"New Cairo, Cairo, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/yf8frxydli0h-operations-manager-fb-experience-cairo-egypt
HD7YSUIEHRND,HR Manager,Just HR,,· HR | · Performance Management | · Organization Development | · Recruitment,·Human Resources | · Human Resources (HR),8 - 10 Yrs of Exp,Experienced,,"Downtown, Cairo, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/hd7ysuiehrnd-hr-manager-just-hr-cairo-egypt
VORBBFRR25K8,Sales Account Executive,Patchwork Productions,,· Account Management | · Networking | · Communication | · Advertising Media | · Creative Thinking,·Business Development | ·Marketing/PR/Advertising | ·Sales/Retail | · Business Development | · Sales,3 - 7 Yrs of Exp,Experienced,,"Garden City, Cairo, Egypt",Full Time,Hybrid,,,,Wuzzuf,https://wuzzuf.net/jobs/p/vorbbfrr25k8-sales-account-executive-patchwork-productions-cairo-egypt
2I6MJLHYJF4D,Senior Site Engineer (North Coast &/or Sherouk City Projects),AEG Design & Construction,,· Site Engineer | · Architect | · Architecture | · AutoCAD | · Site Security | · Project Management,·Engineering - Construction/Civil/Architecture | · Engineering | · Site Engineering | · Architectural Engineering,8+ Yrs of Exp,Experienced,,"Sheikh Zayed, Giza, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/2i6mjlhyjf4d-senior-site-engineer-north-coast-or-sherouk-city-projects-aeg-design-construction-giza-egypt
DAMG0BX8WS6K,Production Engineer,PAFT,,· Process Optimization | · Production,·Manufacturing/Production | · Production Engineering | · Manufacturing Operations | · Engineering | · Engineering Services | · Engineering Service,1 - 3 Yrs of Exp,Entry Level,,"6th of October, Giza, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/damg0bx8ws6k-production-engineer-paft-giza-egypt
JVKWGYNDFLAA,Entry Level Travel Consultant,Hojuzat,,· Travel | · Customer Support | · Communication Skills | · Interpersonal Skills | · Problem-Solving | · Travel Planning,·Tourism/Travel | · Tourism | · Customer Service | · Sales Skills,0 - 2 Yrs of Exp,Entry Level,,"Mansoura, Dakahlia, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/jvkwgyndflaa-entry-level-travel-consultant-hojuzat-dakahlia-egypt
PNKU6UGNMZ1W,Electrical Site Engineer,Allied Engineering & projects,,· Electrical Site Management | · Site Engineer | · Electrical Systems Design | · Power Distribution | · Teamwork | · Project Management | · AutoCAD,·Engineering - Mechanical/Electrical | · Electrical Engineering,2 - 5 Yrs of Exp,Experienced,,"Mohandessin, Giza, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/pnku6ugnmz1w-electrical-site-engineer-allied-engineering-projects-giza-egypt
GB6ZS3GSLDWK,Accounting Manager,Just HR,,· Financial Management | · Cost Control | · Financial Reporting,·Accounting/Finance | · Accounting | · Finance,8 - 10 Yrs of Exp,Manager,,"Nasr City, Cairo, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/gb6zs3gsldwk-accounting-manager-just-hr-cairo-egypt
B4WH33DZQGJA,Recruitment Team Leader/s,Just HR,,· Team Leadership | · Talent Acquisition | · Candidate Sourcing | · Problem Solving | · Communication | · Interviewing,·Human Resources | · Recruitment Strategy,3 - 5 Yrs of Exp,Experienced,,"Nasr City, Cairo, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/b4wh33dzqgja-recruitment-team-leaders-just-hr-cairo-egypt
AEQBBD26UN1R,Senior HR Operations Officer,Just HR,,· HR | · Microsoft Office | · Recruitment | · Personnel Affairs | · Personnel Management | · Payroll,·Human Resources | · Human Resources (HR),2 - 4 Yrs of Exp,Experienced,,"Nasr City, Cairo, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/aeqbbd26un1r-senior-hr-operations-officer-just-hr-cairo-egypt
H66CH5XRY7EX,Senior Full Stack Developer,Agricope,,· Computer Science | · Information Technology (IT) | · Software Development | · Full-stack Development | · JavaScript | · React | · Node.js | · RESTful APIs,·IT/Software Development | ·Engineering - Telecom/Technology,4 - 8 Yrs of Exp,Experienced,,"Cairo, Egypt",Full Time,Hybrid,,,,Wuzzuf,https://wuzzuf.net/jobs/p/h66ch5xry7ex-senior-full-stack-developer-agricope-cairo-egypt
BNR3SHX7TTPL,Social Media Specialist,Agricope,,·Writing/Editorial | ·Media/Journalism/Publishing | · Social Media Management | · Content Creation | · Data Analytics | · SEO | · Community Engagement,·Marketing/PR/Advertising | · E-Marketing | · Marketing,4 - 6 Yrs of Exp,Experienced,,"Cairo, Egypt",Full Time,Hybrid,,,,Wuzzuf,https://wuzzuf.net/jobs/p/bnr3shx7ttpl-social-media-specialist-agricope-cairo-egypt
IFZPCRPE0YRH,Graphic Designer,Agricope,,·Creative/Design/Art | · Adobe Illustrator | · Graphic Design | · Adobe Photoshop | · Design Principles | · Motion Graphics | · Motion Graphic Design | · Branding | · Typography,·Marketing/PR/Advertising,3 - 7 Yrs of Exp,Experienced,,"Cairo, Egypt",Full Time,Hybrid,,,,Wuzzuf,https://wuzzuf.net/jobs/p/ifzpcrpe0yrh-graphic-designer-agricope-cairo-egypt
VZENP8HB7KQM,Project Manager – Operation & Execution (Remote),Safe Harbor,,·Project/Program Management | · Management | · Project Management | · Project,·Administration | ·Operations/Management,5 - 10 Yrs of Exp,Manager,,"Cairo, Egypt",Full Time,Remote,,,,Wuzzuf,https://wuzzuf.net/jobs/p/vzenp8hb7kqm-project-manager-operation-execution-remote-safe-harbor-cairo-egypt
JHDREGHFMCOQ,Remote Sales Partner - eSIM for Travelers (Commission Based) Hurghada,Egypt Connect,,Freelance / Project | · Communication,·Business Development | ·Customer Service/Support | ·Sales/Retail | · Business Development | · Sales | · Customer Service | · Digital Marketing | · Tourism,0 - 2 Yrs of Exp,Student,,"Hurghada, Red Sea, Egypt",Part Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/jhdreghfmcoq-remote-sales-partner-esim-for-travelers-commission-based-hurghada-egypt-connect-red-sea-egypt
D5RQKPVTHD2D,Senior International Marketing Specialist,ITIDA,,·Media/Journalism/Publishing | · Social Media,·Marketing/PR/Advertising | · Digital Marketing | · E-Marketing | · Marketing,5 - 7 Yrs of Exp,Experienced,,"Smart Village, Giza, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/d5rqkpvthd2d-senior-international-marketing-specialist-itida-giza-egypt
3EVAD039JKOW,Senior Clients Relationship Account Manager,ITIDA,,· Account Management | · Customer Relationship Management | · Information Technology (IT) | · Computer Skills | · English | · MBA,·Customer Service/Support | · Customer Service,5 - 8 Yrs of Exp,Experienced,,"Smart Village, Giza, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/3evad039jkow-senior-clients-relationship-account-manager-itida-giza-egypt
XRLJRYMYMLSU,Incubation Communication and Outreach Senior Specialist,ITIDA,,· Communication,·Business Development | ·Marketing/PR/Advertising | · Marketing,5 - 8 Yrs of Exp,Experienced,,"Smart Village, Giza, Egypt",Full Time,On-site,,,,Wuzzuf,https://wuzzuf.net/jobs/p/xrljrymymlsu-incubation-communication-and-outreach-senior-specialist-itida-giza-egypt
